,Player,Salary
266,,"$3,846,895"
267,,"$3,804,360"
268,,"$3,740,160"
269,,"$3,722,040"
270,,"$3,613,680"
271,,"$3,552,840"
272,,"$3,536,160"
273,,"$3,500,000"
274,,"$3,500,000"
275,,"$3,465,000"
276,,"$3,433,320"
277,,"$3,433,320"
278,,"$3,423,750"
279,,"$3,395,062"
280,,"$3,375,360"
281,,"$3,359,160"
282,,"$3,261,480"
283,,"$3,217,631"
284,,"$3,209,493"
285,,"$3,206,520"
286,,"$3,205,128"
287,,"$3,200,000"
288,,"$3,200,000"
289,,"$3,191,400"
290,,"$3,122,602"
291,,"$3,098,400"
292,,"$3,047,640"
293,,"$3,046,200"
294,,"$3,000,000"
295,,"$3,000,000"
296,,"$2,959,080"
297,,"$2,925,600"
298,,"$2,909,040"
299,,"$2,905,851"
300,,"$2,905,851"
301,,"$2,905,851"
302,,"$2,905,851"
303,,"$2,905,851"
304,,"$2,905,851"
305,,"$2,905,851"
306,,"$2,905,851"
307,,"$2,905,851"
308,,"$2,905,851"
309,,"$2,905,851"
310,,"$2,905,851"
311,,"$2,844,429"
312,,"$2,840,160"
313,,"$2,808,600"
314,,"$2,792,640"
315,,"$2,726,880"
316,,"$2,717,391"
317,,"$2,696,400"
318,,"$2,681,040"
319,,"$2,641,682"
320,,"$2,628,597"
321,,"$2,628,597"
322,,"$2,625,000"
323,,"$2,617,800"
324,,"$2,588,640"
325,,"$2,573,760"
326,,"$2,485,200"
327,,"$2,471,160"
328,,"$2,471,160"
329,,"$2,463,490"
330,,"$2,463,490"
331,,"$2,463,490"
332,,"$2,443,581"
333,,"$2,412,840"
334,,"$2,408,891"
335,,"$2,385,480"
336,,"$2,372,160"
337,,"$2,363,272"
338,,"$2,316,240"
339,,"$2,306,520"
340,,"$2,300,000"
341,,"$2,298,385"
342,,"$2,298,385"
343,,"$2,298,385"
344,,"$2,298,385"
345,,"$2,298,385"
346,,"$2,277,000"
347,,"$2,266,640"
348,,"$2,244,111"
349,,"$2,239,920"
350,,"$2,239,200"
351,,"$2,234,359"
352,,"$2,226,000"
353,,"$2,210,040"
354,,"$2,201,520"
355,,"$2,200,000"
356,,"$2,193,960"
357,,"$2,193,920"
358,,"$2,174,880"
359,,"$2,161,440"
360,,"$2,160,000"
361,,"$2,145,720"
362,,"$2,138,160"
363,,"$2,133,278"
364,,"$2,133,278"
365,,"$2,133,278"
366,,"$2,133,278"
367,,"$2,133,278"
368,,"$2,130,240"
369,,"$2,125,200"
370,,"$2,109,480"
371,,"$2,094,120"
372,,"$2,036,318"
373,,"$2,036,318"
374,,"$2,000,000"
375,,"$2,000,000"
376,,"$2,000,000"
377,,"$2,000,000"
378,,"$2,000,000"
379,,"$1,997,718"
380,,"$1,968,175"
381,,"$1,968,175"
382,,"$1,968,175"
383,,"$1,968,175"
384,,"$1,968,175"
385,,"$1,968,175"
386,,"$1,968,175"
387,,"$1,968,175"
388,,"$1,930,681"
389,,"$1,930,681"
390,,"$1,930,681"
391,,"$1,930,681"
392,,"$1,930,681"
393,,"$1,930,681"
394,,"$1,930,681"
395,,"$1,910,860"
396,,"$1,902,133"
397,,"$1,902,133"
398,,"$1,901,625"
399,,"$1,878,720"
400,,"$1,878,720"
401,,"$1,878,720"
402,,"$1,878,720"
403,,"$1,846,738"
404,,"$1,836,090"
405,,"$1,836,090"
406,,"$1,836,090"
407,,"$1,815,677"
408,,"$1,815,677"
409,,"$1,815,677"
410,,"$1,785,000"
411,,"$1,782,621"
412,,"$1,782,621"
413,,"$1,782,621"
414,,"$1,782,621"
415,,"$1,782,621"
416,,"$1,782,621"
417,,"$1,782,621"
418,,"$1,782,621"
419,,"$1,782,621"
420,,"$1,752,638"
